Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
206,Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4.0,4.4,20,No,,Wildlife,Yes,0.02,All
207,Northern,Ladakh,Dras,Dras War Memorial,War Memorial,Unknown,1.0,4.8,0,No,,Historical,Yes,0.012,All
208,Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,Unknown,0.5,3.7,0,Yes,,Nature,Yes,0.1,All
209,Northern,Ladakh,Leh,Khardung La Pass,Hill,Unknown,1.0,4.5,0,Yes,,Adventure,Yes,0.05,Afternoon
210,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,30,Yes,,Religious,No,0.05,All
211,Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,4.8,0,Yes,,Religious,Yes,0.49,Evening
212,Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1950,1.0,4.8,0,Yes,,Historical,Yes,0.03,Morning
213,Central,Uttar Pradesh,Mathura,Nand Gaon,Village,Unknown,1.0,4.1,0,Yes,,Cultural,Yes,0.01,Morning
214,Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,Unknown,1.0,4.8,0,Yes,,Religious,Yes,0.1,Morning
215,Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,Unknown,1.0,4.5,0,No,,Nature,Yes,0.025,All
216,Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3.0,4.4,250,Yes,,Wildlife,Yes,0.035,All
217,Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4.0,4.4,60,No,,Wildlife,Yes,0.065,All
218,Eastern,West Bengal,Digha,Digha Beach,Beach,Unknown,1.5,4.5,0,No,,Recreational,Yes,0.09,Morning
219,Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,4.5,10,Yes,Friday,Historical,Yes,0.18,Morning
220,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Unknown,0.5,4.7,0,Yes,,Religious,No,0.045,All
221,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,Yes,,Architectural,No,0.07,All
222,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3.0,4.4,100,Yes,,Wildlife,Yes,0.07,All
223,Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1.0,4.5,20,Yes,Friday,Historical,Yes,0.09,All
224,Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,Unknown,2.5,4.5,0,No,,Nature,Yes,0.15,All
225,Eastern,Odisha,Puri,Jagannath Temple,Temple,12th century,2.0,4.7,0,Yes,,Religious,No,1.0,All
226,Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,Yes,,Historical,Yes,0.83,All
227,Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,11th century,1.0,4.6,0,Yes,,Religious,No,0.35,All
228,Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,Unknown,1.5,4.5,0,No,,Nature,Yes,1.2,All
229,Eastern,Odisha,Cuttack,Barabati Fort,Fort,-987,1.0,4.5,0,Yes,,Historical,Yes,0.13,All
230,Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1.0,4.5,0,No,,Engineering Marvel,Yes,0.01,All
231,Eastern,Odisha,Chilika,Chilika Lake,Lake,Unknown,2.0,3.9,0,Yes,,Nature,Yes,0.1,Morning
232,Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,Ancient,1.0,4.6,0,Yes,,Religious,No,0.01,All
233,Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,Unknown,1.0,4.3,0,No,,Nature,Yes,0.018,Morning
234,Eastern,Odisha,Balasore,Chandipur Beach,Beach,Unknown,1.5,4.2,0,Yes,,Recreational,Yes,0.014,Morning
235,Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,Unknown,1.0,4.4,0,No,,Nature,Yes,0.055,All
236,Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Unknown,1.5,3.9,0,Yes,,Recreational,Yes,0.1,Morning
237,Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,6th century AD,2.0,4.7,0,Yes,,Religious,No,0.65,All
238,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,12th century,1.5,4.6,0,No,,Religious,No,0.01,All
239,Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1.0,4.6,20,Yes,,Historical,No,0.47,Morning
240,Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1.0,4.1,10,Yes,,Recreational,Yes,0.61,Morning
241,Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,12th century,1.0,4.7,0,Yes,,Religious,No,0.3,All
242,Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2.0,3.9,0,No,,Recreational,Yes,0.1,Morning
243,Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,Yes,,Religious,No,0.35,All
244,Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,7th century,1.0,4.6,40,Yes,,Historical,No,0.09,All
245,Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,Unknown,1.0,4.2,0,No,,Recreational,Yes,0.019,Morning
246,Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,7th century,1.0,4.6,0,Yes,,Religious,No,0.16,All
247,Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,10th century,1.0,4.7,0,Yes,,Religious,No,0.28,All
248,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.44,All
249,Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.39,Morning
250,Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1.0,4.7,0,No,,Religious,No,0.49,All
251,Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2.0,4.3,0,Yes,,Nature,Yes,0.032,All
252,Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,0,No,,Historical,Yes,0.075,All
253,Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,65,Yes,,Natural Wonder,Yes,0.11,Afternoon
254,Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.041,All
255,Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1.0,4.4,10,Yes,,Wildlife,Yes,0.7,All
256,Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,0,No,,Historical,Yes,0.015,Morning
257,Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1.0,4.7,0,Yes,,Religious,Yes,0.12,All
258,Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1.0,4.7,0,Yes,,Religious,No,0.59,All
259,Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2.0,4.5,0,Yes,,Recreational,Yes,0.019,All
260,Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1.0,4.6,40,Yes,,Historical,Yes,0.49,All
261,Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2.0,4.5,60,No,,Natural Wonder,Yes,0.31,Afternoon
262,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1.0,4.6,0,Yes,,Historical,Yes,0.059,All
263,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2.0,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon
264,Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1.0,3.8,20,Yes,,Recreational,Yes,0.03,All
265,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1.0,4.3,10,Yes,,Cultural,Yes,0.065,All
266,Eastern,Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2.0,4.3,20,Yes,,Historical,Yes,0.15,Afternoon
267,Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1.0,4.6,20,No,,Religious,No,0.015,Morning
268,Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2.0,4.7,50,Yes,,Religious,No,0.12,All
269,Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,1960s,1.0,4.6,10,Yes,,Religious,No,0.035,Morning
270,Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1.0,4.8,50,Yes,,Cultural,Yes,0.1,All
271,Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1.0,4.7,0,Yes,,Religious,No,0.075,All
272,Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,Unknown,2.0,4.5,0,Yes,,Nature,Yes,0.15,Morning
273,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2.0,4.6,0,Yes,,Religious,No,0.21,All
274,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3.0,4.5,650,No,,Wildlife,No,0.068,Morning
275,North Eastern,Assam,Guwahati,Umananda Island,Island,Unknown,1.0,4.1,0,Yes,,Nature,Yes,0.01,Morning
276,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1.0,4.7,0,No,,Historical,Yes,0.065,All
277,North Eastern,Assam,Majuli,Majuli Island,River Island,Unknown,2.0,4.7,0,No,,Cultural,Yes,0.01,Morning
278,North Eastern,Assam,Manas,Manas National Park,National Park,1990,3.0,4.6,500,No,,Wildlife,Yes,0.19,Morning
279,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1.0,4.5,0,No,,Religious,Yes,0.9,All
280,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2.0,4.4,500,Yes,,Wildlife,Yes,0.037,All
281,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2.0,4.7,0,No,,Religious,No,0.032,Morning
282,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,4.5,10,Yes,Monday,Historical,Yes,0.035,All
283,North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,Unknown,1.0,4.5,0,No,,Nature,Yes,0.01,Morning
284,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,4.5,20,No,,Historical,Yes,0.025,Morning
285,Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Unknown,1.5,4.6,0,No,,Nature,Yes,0.19,Morning
286,North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,Unknown,3.0,4.7,0,No,,Trekking,Yes,0.01,Afternoon
287,Southern,Puducherry,Puducherry,Promenade Beach,Beach,Unknown,1.0,4.5,0,Yes,,Recreational,Yes,0.09,Morning
288,Southern,Puducherry,Auroville,Auroville,Township,1968,2.0,4.1,0,Yes,,Cultural,Yes,0.035,All
289,Southern,Puducherry,Puducherry,Paradise Beach,Beach,Unknown,1.0,4.5,200,Yes,,Recreational,Yes,0.015,Morning
290,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,0.12,Afternoon
291,Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Unknown,1.0,4.8,0,No,,Nature,Yes,0.09,Morning
292,Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Unknown,1.0,4.5,0,No,,Nature,Yes,0.04,Morning
293,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Unknown,1.5,4.4,250,No,,Nature,Yes,0.015,Morning
294,Western,Daman and Diu,Diu,Naida Caves,Cave,Unknown,1.0,4.5,0,No,,Nature,Yes,0.6,Afternoon
295,Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,No,,Historical,Yes,1.2,Afternoon
296,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,Yes,1.8,All
297,Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,Unknown,1.0,4.6,0,Yes,,Religious,Yes,0.13,All
298,Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,Yes,,Religious,Yes,0.2,All
299,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30,Yes,,Wildlife,Yes,0.5,All
300,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1.0,4.7,0,Yes,,Religious,Yes,0.25,All
301,Eastern,Bihar,Patna,Budhha Smriti Park,Park,Unknown,1.0,4.4,10,Yes,,Cultural,Yes,0.31,All
302,Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3.0,4.4,1100,Yes,Monday,Entertainment,Yes,0.3,Afternoon
303,Northern,Haryana,Gurugram,Ambience Mall,Mall,Unknown,2.0,4.6,0,Yes,,Shopping,Yes,1.2,Afternoon
304,Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,Unknown,2.0,4.7,0,Yes,,Entertainment,Yes,0.71,Afternoon
305,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,Unknown,1.0,4.8,0,Yes,,Religious,Yes,1.05,All
306,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Unknown,1.5,4.8,0,No,,Religious,No,2.0,All
307,Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2.0,4.6,0,Yes,,Shopping,Yes,1.5,All
308,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,Unknown,2.0,4.2,0,Yes,,Shopping,Yes,0.45,All
309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4.0,4.5,890,Yes,,Entertainment,Yes,0.95,All
310,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3.0,4.4,50,Yes,Monday,Wildlife,Yes,0.81,Afternoon
311,Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2.0,4.5,0,Yes,,Shopping,Yes,1.8,All
312,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2.0,4.5,0,Yes,,Shopping,Yes,1.2,All
313,Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1.0,4.5,0,Yes,,Historical,Yes,0.49,All
314,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,Unknown,1.5,4.7,0,Yes,,Religious,No,0.1,All
315,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2.0,4.6,1500,Yes,Sunday,Sports,Yes,7.4,All
316,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2.0,4.6,0,Yes,,Shopping,Yes,0.35,All
317,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3.0,4.6,0,Yes,,Shopping,Yes,1.9,All
318,Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2.0,4.4,50,Yes,Monday,Cultural,Yes,0.24,Morning
319,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,Unknown,2.0,4.6,0,No,,Nature,Yes,0.06,Morning
320,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3.0,4.6,0,Yes,Monday,Religious,No,0.18,All
321,Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2.0,4.5,40,Yes,,Historical,Yes,1.3,Afternoon
322,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2.0,4.7,10,Yes,Monday,Cultural,Yes,0.15,All
323,Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2.0,4.4,200,Yes,,Historical,Yes,0.51,Morning
324,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2.0,4.5,200,Yes,,Historical,Yes,0.63,All
1,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,1.6,4.5,200,Yes,,Architectural,No,1.55,All
2,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.1,4.4,0,Yes,,Historical,Yes,0.3,All 
3,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,6.0,4.8,0,Yes,,Historical,Yes,0.75,Night
4,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,5.9,4.4,50,Yes,,Recreational,Yes,0.1,Night
5,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,0.6,5.0,200,No,,Religious,No,0.72,Night
6,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,3.3,4.7,0,Yes,,Shopping,Yes,0.36,Morning
7,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,4.7,4.5,20,Yes,,Historical,Yes,1.79,Night
8,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,4.6,4.6,50,Yes,Monday,Wildlife,Yes,0.38,All
9,Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,Unknown,2.8,4.3,200,Yes,,Nature,Yes,0.1,Evening
10,Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,4.3,4.3,0,Yes,,Recreational,Yes,0.33,Evening
11,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,3.1,4.7,50,Yes,,Entertainment,Yes,1.64,Morning
12,Southern,Goa,Goa,Chapora Fort,Fort,1617,2.5,4.4,10,Yes,,Historical,Yes,0.7,Night
13,Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,1.8,4.5,100,Yes,,Historical,Yes,1.19,All
14,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,4.3,4.9,500,No,,Historical,Yes,0.1,Night
15,Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,Unknown,4.8,4.1,100,Yes,,Nature,Yes,0.97,Afternoon
16,Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,Unknown,3.7,4.6,200,No,,Nature,Yes,0.2,All
17,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,5.1,4.4,0,No,,Wildlife,No,0.1,Morning
18,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,3.2,4.0,20,Yes,,Recreational,Yes,0.86,Afternoon
19,Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,3.3,4.5,20,No,,Engineering Marvel,Yes,0.1,Evening
20,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1.3,4.8,200,Yes,,Religious,No,0.1,Morning
21,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,5.8,4.7,10,Yes,,Historical,Yes,0.21,Morning
22,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,3.5,4.6,50,Yes,,Historical,Yes,1.51,Evening
23,Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,0.7,4.4,50,Yes,,Wildlife,Yes,0.19,Afternoon
24,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,5.1,4.4,500,Yes,,Historical,Yes,0.68,All
25,Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,3.5,4.7,10,No,,Engineering Marvel,Yes,0.1,Morning
26,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,3.9,3.5,100,No,Monday,Recreational,Yes,0.77,Night
27,Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,5.9,4.8,50,Yes,,Religious,Yes,0.1,Night
28,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,5.6,5.0,20,Yes,,Spiritual,Yes,2.02,All
29,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1.7,4.8,100,Yes,,Religious,Yes,0.1,Evening
30,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,4.1,4.8,10,No,,Cultural,Yes,0.26,Evening
31,Northern,Rajasthan,Udaipur,City Palace,Palace,1559,0.6,4.2,200,Yes,,Historical,Yes,0.18,Afternoon
32,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,5.8,5.0,10,No,,Religious,No,0.33,All 
33,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Unknown,4.3,4.4,10,No,,Nature,Yes,0.1,Morning
34,Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1751,2.6,4.9,10,No,,Religious,No,0.43,Anytime
35,Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,4.4,4.4,500,Yes,,Agricultural,Yes,0.61,Evening
36,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,2.8,3.8,50,No,,Historical,Yes,0.1,Anytime
37,Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,2.9,4.5,10,Yes,,Recreational,Yes,0.1,All 
38,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,1.1,5.0,0,Yes,,Architectural,No,0.1,Anytime
39,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Unknown,4.2,4.6,100,Yes,,Religious,No,0.34,All 
40,Northern,Ladakh,Leh,Khardung La Pass,Hill,Unknown,5.0,4.6,0,Yes,,Adventure,Yes,0.47,Night
41,Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,1990,2.6,4.3,500,No,,Adventure,Yes,0.1,Afternoon
42,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,2.8,4.4,200,Yes,,Historical,Yes,0.25,Afternoon
43,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,2.8,4.5,500,Yes,,Religious,No,0.1,All
44,Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Unknown,1.4,4.9,0,No,,Recreational,Yes,0.34,All
45,Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,Unknown,1.3,4.5,20,No,,Nature,Yes,0.16,All 
46,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,3.2,4.2,100,Yes,,Cultural,Yes,0.1,Morning
47,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,5.9,4.4,200,Yes,,Botanical,Yes,0.3,Morning
48,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,4.4,4.5,20,Yes,,Entertainment,Yes,0.43,Morning
49,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.7,4.8,50,Yes,,Historical,Yes,0.52,All 
50,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2.8,4.4,10,Yes,,Recreational,Yes,0.1,Anytime
51,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,Unknown,0.8,4.9,100,Yes,,Religious,Yes,0.86,Night
52,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,3.3,4.5,20,No,,Historical,Yes,1.38,Evening
53,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,4.5,4.5,20,No,,Historical,Yes,0.24,Afternoon
54,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.2,4.4,0,Yes,,Religious,Yes,0.93,Afternoon
55,Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,5.2,4.5,20,Yes,Friday,Historical,Yes,0.19,All
56,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,4.4,4.6,10,Yes,,Religious,No,0.56,All
57,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,2.6,4.2,0,Yes,,Historical,Yes,0.67,All
58,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,4.4,4.4,100,Yes,,Wildlife,Yes,0.47,Anytime
59,Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,2.5,4.5,20,Yes,,Wildlife,Yes,0.1,Night
60,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,4.9,4.6,500,No,,Historical,Yes,0.25,Night
61,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,4.0,4.9,10,Yes,Monday,Religious,No,0.22,Afternoon
62,Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,Unknown,3.1,4.6,50,Yes,,Religious,No,0.1,Anytime
63,Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,4.1,4.8,10,Yes,,Religious,No,0.3,Evening
64,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,4.0,4.5,10,No,,Cultural,Yes,0.24,Morning
65,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.6,4.9,200,Yes,Monday,Historical,Yes,0.1,Night
66,Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,1.4,4.9,0,Yes,,Cultural,Yes,0.29,Evening
67,North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,Unknown,3.5,4.8,200,No,,Trekking,Yes,0.1,Anytime
68,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,2.3,4.9,0,Yes,,Historical,Yes,0.42,Night
69,Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1600,1.1,5.0,0,No,,Religious,No,0.1,All 
70,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.2,4.3,20,Yes,Monday,Historical,Yes,0.17,Morning
71,North Eastern,Assam,Manas,Manas National Park,National Park,1990,5.3,4.5,500,No,,Wildlife,Yes,0.17,Evening
72,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,Unknown,3.4,4.4,20,No,,Nature,Yes,0.1,Evening
73,Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,5.8,4.3,10,Yes,Friday,Historical,Yes,0.34,All 
74,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,5.5,4.6,10,Yes,,Historical,Yes,3.14,All
75,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,3.8,4.9,0,No,,Historical,Yes,0.1,Anytime
76,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,5.3,4.9,100,Yes,,Religious,Yes,2.13,All
77,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,3.7,4.5,50,Yes,,Scenic,Yes,0.42,Evening
78,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,2.7,4.5,0,Yes,,Religious,No,0.1,Evening
79,Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1922,3.0,4.7,20,Yes,,Religious,No,1.3,All
80,Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,1982,3.2,4.8,10,No,,Nature,Yes,0.24,Afternoon
81,Western,Gujarat,Ahmedabad,Manek Chowk,Market,Unknown,3.9,4.4,100,Yes,,Food,Yes,0.38,Night
82,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,5.6,4.1,200,Yes,,Historical,Yes,0.16,Anytime
83,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,4.9,4.5,10,No,,Religious,No,0.1,Morning
